query_id,plan_id,operator_type,width,dop,left_child,parent_child
13,10,CStore Scan,8,96,-1,9
13,11,Vector Streaming LOCAL REDISTRIBUTE,8,56,12,8
13,12,CStore Scan,8,32,-1,11
14,0,Row Adapter,107,2,1,-1
14,1,Vector Aggregate,107,2,2,0
14,2,Vector Streaming LOCAL GATHER,107,2,3,1
14,3,Vector Aggregate,107,40,4,2
14,4,Vector Sonic Hash Join,43,40,5,3
14,5,Vector Streaming LOCAL REDISTRIBUTE,30,40,6,4
14,6,CStore Scan,30,32,-1,5
14,7,Vector Streaming LOCAL REDISTRIBUTE,29,40,8,4
14,8,CStore Scan,29,32,-1,7
15,0,Sort,107,2,6,-1
15,1,Row Adapter,62,2,2,-1
15,2,Vector Sonic Hash Aggregate,62,2,3,1
15,3,CStore Scan,30,2,-1,2
15,4,Aggregate,64,2,5,7
15,5,CTE Scan,32,2,-1,4
15,6,Nested Loop,107,2,7,0
15,7,CTE Scan,40,2,4,6
15,8,Row Adapter,75,2,9,6
15,9,CStore Index Scan,75,2,-1,8
16,0,Row Adapter,66,2,1,-1
16,1,Vector Limit,66,2,2,0
16,2,Vector Sort,66,2,3,1
16,3,Vector Streaming LOCAL GATHER,66,2,4,2
16,4,Vector Limit,66,8,5,3
16,5,Vector Sort,66,8,6,4
16,6,Vector Sonic Hash Aggregate,66,8,7,5
16,7,Vector Streaming LOCAL REDISTRIBUTE,66,8,8,6
16,8,Vector Sonic Hash Aggregate,66,32,9,7
16,9,Vector Hash Join,58,32,10,8
16,10,Vector Sonic Hash Join,58,32,11,9
16,11,Vector Streaming LOCAL REDISTRIBUTE,16,32,12,10
16,12,CStore Scan,16,64,-1,11
16,13,Vector Streaming LOCAL REDISTRIBUTE,58,32,14,10
16,14,CStore Scan,58,96,-1,13
16,15,Vector Streaming BROADCAST,8,32,16,9
16,16,CStore Scan,8,32,-1,15
17,0,Row Adapter,43,2,1,-1
17,1,Vector Aggregate,43,2,2,0
17,2,Vector Streaming LOCAL GATHER,43,2,3,1
17,3,Vector Aggregate,43,12,4,2
17,4,Vector Sonic Hash Join,11,12,5,3
17,5,Vector Sonic Hash Aggregate,51,12,6,4
17,6,Vector Streaming LOCAL REDISTRIBUTE,51,12,7,5
17,7,Vector Sonic Hash Aggregate,51,96,8,6
17,8,CStore Scan,19,96,-1,7
17,9,Vector Streaming LOCAL REDISTRIBUTE,38,12,10,4
17,10,Vector Sonic Hash Join,38,96,11,9
17,11,CStore Scan,30,96,-1,10
17,12,Vector Streaming BROADCAST,8,96,13,10
17,13,CStore Scan,8,32,-1,12
18,0,Row Adapter,97,2,1,-1
18,1,Vector Limit,97,2,2,0
18,2,Vector Sort,97,2,3,1
18,3,Vector Streaming LOCAL GATHER,97,2,4,2
18,4,Vector Limit,97,8,5,3
18,5,Vector Sort,97,8,6,4
18,6,Vector Sonic Hash Aggregate,97,8,7,5
18,7,Vector Streaming LOCAL REDISTRIBUTE,65,8,8,6
18,8,Vector Sonic Hash Join,65,32,9,7
18,9,CStore Scan,19,32,-1,8
18,10,Vector Streaming BROADCAST,62,32,11,8
18,11,Vector Sonic Hash Join,62,8,12,10
18,12,Vector Streaming LOCAL REDISTRIBUTE,43,8,13,11
18,13,Vector Nest Loop,43,2,14,12
18,14,Vector Streaming LOCAL GATHER,8,2,15,13
18,15,Vector Sonic Hash Aggregate,51,68,16,14
18,16,Vector Streaming LOCAL REDISTRIBUTE,51,68,17,15
18,17,Vector Sonic Hash Aggregate,51,96,18,16
18,18,CStore Scan,19,96,-1,17
18,19,CStore Index Scan,35,2,-1,13
18,20,Vector Streaming LOCAL REDISTRIBUTE,27,8,21,11
18,21,CStore Scan,27,32,-1,20
19,0,Row Adapter,54,2,1,-1
19,1,Vector Aggregate,54,2,2,0
19,2,Vector Streaming LOCAL GATHER,54,2,3,1
19,3,Vector Aggregate,54,12,4,2
19,4,Vector Sonic Hash Join,22,12,5,3
19,5,Vector Streaming LOCAL REDISTRIBUTE,41,12,6,4
19,6,CStore Scan,41,32,-1,5
19,7,Vector Streaming LOCAL REDISTRIBUTE,48,12,8,4
19,8,CStore Scan,48,32,-1,7
20,0,Row Adapter,51,2,1,-1
20,1,Vector Sort,51,2,2,0
20,2,Vector Hash Join,51,2,3,1
20,3,Vector Streaming LOCAL GATHER,16,2,4,2
20,4,Vector Sonic Hash Join,16,52,5,3
20,5,Vector Hash Aggregate,59,52,6,4
20,6,Vector Streaming LOCAL REDISTRIBUTE,27,52,7,5
20,7,CStore Scan,27,64,-1,6
20,8,Vector Streaming LOCAL REDISTRIBUTE,32,52,9,4
20,9,Vector Sonic Hash Join,32,64,10,8
20,10,CStore Scan,24,64,-1,9
20,11,Vector Streaming BROADCAST,8,64,12,9
20,12,CStore Scan,8,32,-1,11
20,13,Vector Sonic Hash Join,59,2,14,2
20,14,CStore Scan,63,2,-1,13
20,15,CStore Scan,4,2,-1,13
21,0,Row Adapter,34,2,1,-1
21,1,Vector Limit,34,2,2,0
21,2,Vector Sort,34,2,3,1
21,3,Vector Streaming LOCAL GATHER,34,2,4,2
21,4,Vector Limit,34,8,5,3
21,5,Vector Sort,34,8,6,4
21,6,Vector Sonic Hash Aggregate,34,8,7,5
21,7,Vector Streaming LOCAL REDISTRIBUTE,26,8,8,6
21,8,Vector Hash Join,26,12,9,7
21,9,Vector Streaming LOCAL REDISTRIBUTE,50,12,10,8
21,10,Vector Hash Join,50,32,11,9
21,11,Vector Streaming LOCAL REDISTRIBUTE,50,32,12,10
21,12,Vector Sonic Hash Join,50,96,13,11
21,13,Vector Streaming LOCAL REDISTRIBUTE,42,96,14,12
21,14,Vector Sonic Hash Join,42,32,15,13
21,15,CStore Scan,16,32,-1,14
21,16,Vector Streaming BROADCAST,34,32,17,14
21,17,Vector Sonic Hash Join,34,8,18,16
21,18,CStore Scan,38,8,-1,17
21,19,CStore Scan,4,8,-1,17
21,20,Vector Streaming LOCAL REDISTRIBUTE,8,96,21,12
21,21,CStore Scan,8,32,-1,20
21,22,Vector Streaming LOCAL REDISTRIBUTE,16,32,23,10
21,23,CStore Scan,16,96,-1,22
21,24,Vector Streaming LOCAL REDISTRIBUTE,16,12,25,8
21,25,CStore Scan,16,64,-1,24
22,0,Row Adapter,67,2,1,-1
22,1,Vector Sort,67,2,5,0
22,2,Row Adapter,43,32,3,12
22,3,Vector Aggregate,43,32,4,2
22,4,CStore Scan,11,32,-1,3
22,5,Vector Streaming LOCAL GATHER,67,2,6,1
22,6,Vector Hash Aggregate,67,8,7,5
22,7,Vector Streaming LOCAL REDISTRIBUTE,27,8,8,6
22,8,Vector Hash Join,27,8,9,7
22,9,Vector Streaming LOCAL REDISTRIBUTE,8,8,10,8
22,10,CStore Scan,8,64,-1,9
22,11,Vector Streaming LOCAL REDISTRIBUTE,35,8,12,8
22,12,CStore Scan,35,32,2,11
